## Fri Apr 22 10:59:18 2022
## emapper-2.1.7
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
VVB80296.1	990073.ATHU01000001_gene971	5.97e-16	86.3	COG0438@1|root,COG0438@2|Bacteria,1MU9C@1224|Proteobacteria,42Q7R@68525|delta/epsilon subdivisions,2YMN2@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	Glycosyl transferases group 1	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1
VVB96841.1	1173026.Glo7428_1817	7.62e-79	244.0	COG0730@1|root,COG0730@2|Bacteria,1G72I@1117|Cyanobacteria	1117|Cyanobacteria	S	Sulfite exporter TauE/SafE	-	-	-	ko:K07090	-	-	-	-	ko00000	-	-	-	TauE
VVB96845.1	28072.Nos7524_4669	1.7e-18	80.1	COG4231@1|root,COG4231@2|Bacteria,1GQ0I@1117|Cyanobacteria,1HUAY@1161|Nostocales	1117|Cyanobacteria	C	4Fe-4S ferredoxin iron-sulfur binding domain protein	fdxB	-	-	-	-	-	-	-	-	-	-	-	Fer4,Fer4_6
VVB96847.1	868131.MSWAN_2010	4.11e-149	439.0	COG2710@1|root,arCOG00594@2157|Archaea,2XUNU@28890|Euryarchaeota	28890|Euryarchaeota	C	Belongs to the NifD NifK NifE NifN family	-	-	1.18.6.1	ko:K02591	ko00625,ko00910,ko01100,ko01120,map00625,map00910,map01100,map01120	M00175	R05185,R05496	RC00002,RC01395,RC02891	ko00000,ko00001,ko00002,ko01000	-	-	-	Oxidored_nitro
VVB96848.1	632292.Calhy_2140	2.83e-208	590.0	COG2710@1|root,COG2710@2|Bacteria,1TQUW@1239|Firmicutes,248JD@186801|Clostridia,42EWG@68295|Thermoanaerobacterales	186801|Clostridia	C	PFAM oxidoreductase nitrogenase, component 1	anfD	-	1.18.6.1	ko:K02586	ko00625,ko00910,ko01100,ko01120,map00625,map00910,map01100,map01120	M00175	R05185,R05496	RC00002,RC01395,RC02891	ko00000,ko00001,ko00002,ko01000	-	-	-	Oxidored_nitro
VVB97632.1	1094980.Mpsy_1767	7.85e-84	252.0	COG1014@1|root,arCOG01603@2157|Archaea,2XVFR@28890|Euryarchaeota,2N9J1@224756|Methanomicrobia	224756|Methanomicrobia	C	TIGRFAM pyruvate ketoisovalerate oxidoreductase, gamma subunit	porC-1	-	1.2.7.1	ko:K00172	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	POR
VVB97634.1	269797.Mbar_A1001	1.09e-17	77.8	COG1144@1|root,arCOG01605@2157|Archaea,2Y02N@28890|Euryarchaeota,2N9YE@224756|Methanomicrobia	224756|Methanomicrobia	C	TIGRFAM pyruvate ferredoxin flavodoxin oxidoreductase, delta subunit	porD-1	-	1.2.7.1	ko:K00171	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4
VVB97638.1	1094980.Mpsy_1764	5.7e-161	456.0	COG1013@1|root,arCOG01601@2157|Archaea,2XT3E@28890|Euryarchaeota,2N989@224756|Methanomicrobia	224756|Methanomicrobia	C	thiamine pyrophosphate enzyme domain protein TPP-binding	porB-1	-	1.2.7.1	ko:K00170	ko00010,ko00020,ko00620,ko00633,ko00640,ko00650,ko00680,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00633,map00640,map00650,map00680,map00720,map01100,map01120,map01130,map01200	M00173,M00307,M00374,M00620	R01196,R01199,R08034	RC00004,RC00250,RC02742,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C
VVB97672.1	1549858.MC45_05480	2.24e-09	66.6	COG0673@1|root,COG0673@2|Bacteria,1MZIG@1224|Proteobacteria,2U187@28211|Alphaproteobacteria,2K0N5@204457|Sphingomonadales	204457|Sphingomonadales	S	Oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
VVB97673.1	523850.TON_1860	1.59e-39	137.0	COG0707@1|root,arCOG01394@2157|Archaea,2Y6TN@28890|Euryarchaeota,2456Z@183968|Thermococci	183968|Thermococci	M	PFAM Glycosyltransferase family 28 C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	-
