# Species	Genes	Alg.-Conn.	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR.proteins.faa	LILAC_Borg_RifSed_csp1_19ft_2_complete.proteins.faa	PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete.proteins.faa	RifSed_csp2_16ft_3_Methanoperedens_45_12.proteins.faa	SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete.proteins.faa	SR-VP_0-2cm_Methanoperedens_41_45.proteins.faa	SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19.proteins.faa	SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46.proteins.faa	SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10.proteins.faa	SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15.proteins.faa	SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31.proteins.faa	SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37.proteins.faa	SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82.proteins.faa	SRVP18_trench_6_60cm_Methanoperedens_43_12.proteins.faa
14	16	0.219	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_1098|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_779|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_1212|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_2334_18|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_896|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_5181056_11|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_143_7|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_42621_2|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_2765_10|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_53_6|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_166_282|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_23928_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm,SRVP18_hole-7m-from-trench_1_80cm_scaffold_1071_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1884_11|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_39897_7|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm,SRVP18_trench_6_60cm_scaffold_5160_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	15	0.202	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_1216|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_67|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_516|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_3623_3|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_1071|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_6727922_46|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_26_127|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_2588_10|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_3627_18|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_2109_17|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_136_48|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_3272_10|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_3249_2|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_13966_9|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm,SRVP18_trench_6_60cm_scaffold_31200_1|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.591	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_31|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_503|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_756|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_998_16|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_571|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_5403764_4|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_817_74|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_7664_7|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_3006_13|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_6735_8|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_1894_12|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2562_6|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1783_34|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_18513_3|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.572	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_236|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_157|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_293|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_737_56|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_242|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_19997_5|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_184_14|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_7338_1|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_1426_13|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_2109_16|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_136_47|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1597_13|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_5619_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_6823_3|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.5	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_660|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_464|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_426|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_1008_37|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_389|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_3758109_39|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_240_52|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_5286_7|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_2480_13|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_384_45|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_16_171|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2755_14|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_782_35|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_892_14|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.491	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_514|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_461|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_703|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_513_12|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_388|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_2686611_14|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_962_35|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_577_13|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_1642_18|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_323_25|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_55_42|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1810_6|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1035_30|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_9976_2|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.49	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_65|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_811|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_1266|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_4833_17|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_56|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_2390406_21|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_148_111|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_3168_5|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_2727_15|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_752_56|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_335_56|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1602_43|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_6240_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_4319_13|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.219	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_1107|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_251|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_47|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_1151_28|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_899|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_4378786_8|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_26_129|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_2588_7|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_3627_16|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_1043_18|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_504_25|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_579_36|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_15686_3|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_2068_13|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.202	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_675|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_498|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_748|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_4822_11|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_564|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_8023102_14|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_1153_29|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_9193_5|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_1756_30|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_412_11|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_429_100|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1426_8|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_1453_7|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_5113_2|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.0264	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_262|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_279|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_544|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_2247_25|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_265|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_2414478_7|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_481_74|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_1059_9|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_1844_5|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_104_3|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_166_32|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_10096_5|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_12436_7|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_9006_5|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
14	14	0.0183	BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR_501|BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR|SR-VP_26_10_2019_C_40cm	LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final_489|LILAC_Borg_RifSed_csp1_19ft_2_complete|RifSed_csp1_19ft_2	SRVP18_trench_6_60cm_scaf_214_117_86_FINAL_737|PURPLE_Borg_SRVP18_trench_6_60cm_32_41_complete|SRVP18_trench_6_60cm	RifSed_csp2_16ft_3_scaffold_977_29|RifSed_csp2_16ft_3_Methanoperedens_45_12|RifSed_csp2_16ft_3	SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats_377|SKY_Borg_SRVP18_hole-7m-from-trench_1_80cm_complete|SRVP18_hole-7m-from-trench_1_80cm	SR-VP_0-2_scaffold_141_1774732_3|SR-VP_0-2cm_Methanoperedens_41_45|SR-VP_0-2cm_Biohub_180515	SR-VP_26_10_2019_1_100cm_scaffold_26_259|SR-VP_26_10_2019_1_100cm_Methanoperedens_44_19|SR-VP_26_10_2019_1_100cm	SR-VP_26_10_2019_2_100cm_scaffold_37494_1|SR-VP_26_10_2019_2_100cm_Methanoperedens_44_46|SR-VP_26_10_2019_2_100cm	SR-VP_26_10_2019_C_40cm_scaffold_5352_9|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_10|SR-VP_26_10_2019_C_40cm	SR-VP_26_10_2019_C_40cm_scaffold_545_11|SR-VP_26_10_2019_C_40cm_Methanoperedens_44_15|SR-VP_26_10_2019_C_40cm	SRVP18_hole-7m-from-trench_1_20cm_scaffold_150_77|SRVP18_hole-7m-from-trench_1_20cm__Methanoperedens-related_44_31|SRVP18_hole-7m-from-trench_1_20cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_2721_3|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_37|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_hole-7m-from-trench_1_80cm_scaffold_104010_4|SRVP18_hole-7m-from-trench_1_80cm_Methanoperedens-related_43_82|SRVP18_hole-7m-from-trench_1_80cm	SRVP18_trench_6_60cm_scaffold_2381_4|SRVP18_trench_6_60cm_Methanoperedens_43_12|SRVP18_trench_6_60cm
