Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Uncultured archaeon clone RBG_16_scaffold_1030 genomic sequence,uncultured archaeon,482,856,0%,8e-132,78.02,74733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308675.1?report=genbank&log$=nucltop&blast_rank=1&RID=8HKD5Z2Z013"",""KP308675.1"")"
Uncultured archaeon clone rifoxyb1_full_scaffold_77_curated,uncultured archaeon,389,629,0%,1e-103,66.92,157381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY476703.1?report=genbank&log$=nucltop&blast_rank=2&RID=8HKD5Z2Z013"",""KY476703.1"")"
"Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_40",uncultured archaeon,337,572,0%,7e-88,66.53,3030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362197.1?report=genbank&log$=nucltop&blast_rank=3&RID=8HKD5Z2Z013"",""AB362197.1"")"
"Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_21",uncultured archaeon,329,477,0%,1e-85,66.90,2922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362196.1?report=genbank&log$=nucltop&blast_rank=4&RID=8HKD5Z2Z013"",""AB362196.1"")"
"Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_11",uncultured archaeon,324,504,0%,5e-84,66.81,2922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362195.1?report=genbank&log$=nucltop&blast_rank=5&RID=8HKD5Z2Z013"",""AB362195.1"")"
"Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_08",uncultured archaeon,324,559,0%,5e-84,66.41,3029,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362194.1?report=genbank&log$=nucltop&blast_rank=6&RID=8HKD5Z2Z013"",""AB362194.1"")"
"Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_04",uncultured archaeon,314,478,0%,9e-81,66.31,2922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB362193.1?report=genbank&log$=nucltop&blast_rank=7&RID=8HKD5Z2Z013"",""AB362193.1"")"
"Uncultured archaeon clone ASS_A1, complete genome",uncultured archaeon,309,840,0%,1e-79,65.81,2226687,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009479.1?report=genbank&log$=nucltop&blast_rank=8&RID=8HKD5Z2Z013"",""CP009479.1"")"
"uncultured archaeon ANME-1, unordered contigs",uncultured archaeon,296,2661,0%,2e-75,65.31,3398838,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FP565147.1?report=genbank&log$=nucltop&blast_rank=9&RID=8HKD5Z2Z013"",""FP565147.1"")"
Uncultured archaeon clone rifcsplowo2_02_scaffold_201_curated,uncultured archaeon,282,282,0%,1e-71,66.58,129691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY476667.1?report=genbank&log$=nucltop&blast_rank=10&RID=8HKD5Z2Z013"",""KY476667.1"")"
Uncultured archaeon clone rifcsplowo2_12_scaffold_97_curated,uncultured archaeon,282,282,0%,1e-71,66.58,144531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY476666.1?report=genbank&log$=nucltop&blast_rank=11&RID=8HKD5Z2Z013"",""KY476666.1"")"
Uncultured archaeon clone gwa2_scaffold_32 genomic sequence,uncultured archaeon,282,341,0%,1e-71,66.58,484018,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308564.1?report=genbank&log$=nucltop&blast_rank=12&RID=8HKD5Z2Z013"",""KP308564.1"")"
Uncultured archaeon clone GWB1_scaffold_129 genomic sequence,uncultured archaeon,231,317,0%,8e-56,65.02,142719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308542.1?report=genbank&log$=nucltop&blast_rank=13&RID=8HKD5Z2Z013"",""KP308542.1"")"
"Uncultured archaeon clone 25H-0N-7 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,216,216,0%,2e-51,72.75,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713928.1?report=genbank&log$=nucltop&blast_rank=14&RID=8HKD5Z2Z013"",""EU713928.1"")"
"Uncultured archaeon clone 40H-0N-22 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,215,215,0%,2e-51,72.94,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713986.1?report=genbank&log$=nucltop&blast_rank=15&RID=8HKD5Z2Z013"",""EU713986.1"")"
"Uncultured archaeon clone 40H-0N-20 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,215,215,0%,2e-51,72.77,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713984.1?report=genbank&log$=nucltop&blast_rank=16&RID=8HKD5Z2Z013"",""EU713984.1"")"
"Uncultured archaeon clone 40H-0N-18 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,214,214,0%,6e-51,72.28,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713982.1?report=genbank&log$=nucltop&blast_rank=17&RID=8HKD5Z2Z013"",""EU713982.1"")"
"Uncultured archaeon clone 25H-0N-5 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,214,214,0%,6e-51,72.61,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713926.1?report=genbank&log$=nucltop&blast_rank=18&RID=8HKD5Z2Z013"",""EU713926.1"")"
